Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
822291,ChatGPT,63,3,66,API log
822291,ChatGPT,63,3,66,API log
822291,ChatGPT,67,3,70,API log
822291,ChatGPT,61,7,68,API log
822291,ChatGPT,65,3,68,API log
822291,ChatGPT,67,7,74,API log
822291,ChatGPT,66,3,69,API log
822291,ChatGPT,63,3,66,API log
822291,ChatGPT,59,3,62,API log
822291,ChatGPT,64,7,71,API log
822292,ChatGPT,68,3,71,API log
822292,ChatGPT,60,3,63,API log
822292,ChatGPT,63,7,70,API log
822293,ChatGPT,65,7,72,API log
822293,ChatGPT,59,7,66,API log
822293,ChatGPT,64,3,67,API log
822293,ChatGPT,60,3,63,API log
822293,ChatGPT,61,3,64,API log
822294,ChatGPT,75,3,78,API log
822294,ChatGPT,63,3,66,API log
822294,ChatGPT,65,3,68,API log
822294,ChatGPT,60,3,63,API log
822294,ChatGPT,64,3,67,API log
822294,ChatGPT,72,4,76,API log
822294,ChatGPT,68,3,71,API log
822294,ChatGPT,63,3,66,API log
822295,ChatGPT,61,3,64,API log
822296,ChatGPT,66,3,69,API log
822296,ChatGPT,63,4,67,API log
822297,ChatGPT,66,3,69,API log
822297,ChatGPT,62,3,65,API log
822298,ChatGPT,63,3,66,API log
822298,ChatGPT,62,3,65,API log
822298,ChatGPT,61,4,65,API log
822298,ChatGPT,58,3,61,API log
822298,ChatGPT,62,3,65,API log
822298,ChatGPT,65,7,72,API log
822298,ChatGPT,62,3,65,API log
822298,ChatGPT,63,3,66,API log
822298,ChatGPT,62,3,65,API log
822299,ChatGPT,62,3,65,API log
822299,ChatGPT,59,3,62,API log
822299,ChatGPT,64,7,71,API log
822299,ChatGPT,77,3,80,API log
822299,ChatGPT,63,3,66,API log
822300,ChatGPT,67,3,70,API log
822300,ChatGPT,60,3,63,API log
822300,ChatGPT,72,7,79,API log
822300,ChatGPT,62,3,65,API log
822300,ChatGPT,60,3,63,API log
822301,ChatGPT,62,3,65,API log
822301,ChatGPT,67,3,70,API log
822301,ChatGPT,63,3,66,API log
822301,ChatGPT,68,3,71,API log
822302,ChatGPT,62,3,65,API log
822302,ChatGPT,67,3,70,API log
822302,ChatGPT,65,7,72,API log
822302,ChatGPT,63,3,66,API log
822302,ChatGPT,64,4,68,API log
822302,ChatGPT,66,4,70,API log
822302,ChatGPT,60,3,63,API log
822302,ChatGPT,59,3,62,API log
822302,ChatGPT,68,3,71,API log
822303,ChatGPT,66,3,69,API log
822303,ChatGPT,62,3,65,API log
822303,ChatGPT,69,7,76,API log
822303,ChatGPT,59,4,63,API log
822303,ChatGPT,65,3,68,API log
822303,ChatGPT,73,3,76,API log
822304,ChatGPT,60,3,63,API log
822304,ChatGPT,59,3,62,API log
822304,ChatGPT,62,7,69,API log
822304,ChatGPT,64,3,67,API log
822304,ChatGPT,59,3,62,API log
822305,ChatGPT,62,3,65,API log
822305,ChatGPT,61,3,64,API log
822305,ChatGPT,63,7,70,API log
822305,ChatGPT,70,3,73,API log
822305,ChatGPT,68,3,71,API log
822306,ChatGPT,60,4,64,API log
822307,ChatGPT,60,3,63,API log
822308,ChatGPT,60,3,63,API log
822308,ChatGPT,61,3,64,API log
822308,ChatGPT,63,3,66,API log
822308,ChatGPT,60,3,63,API log
822309,ChatGPT,65,3,68,API log
822310,ChatGPT,61,7,68,API log
822310,ChatGPT,61,4,65,API log
822310,ChatGPT,65,7,72,API log
822310,ChatGPT,66,3,69,API log
822310,ChatGPT,59,3,62,API log
822311,ChatGPT,68,3,71,API log
822311,ChatGPT,70,3,73,API log
822311,ChatGPT,65,7,72,API log
822311,ChatGPT,65,7,72,API log
822312,ChatGPT,66,3,69,API log
822312,ChatGPT,61,4,65,API log
822312,ChatGPT,69,7,76,API log
822312,ChatGPT,68,3,71,API log
822312,ChatGPT,60,3,63,API log
822312,ChatGPT,63,3,66,API log
822312,ChatGPT,62,3,65,API log
822313,ChatGPT,73,3,76,API log
822317,ChatGPT,66,3,69,API log
822317,ChatGPT,63,3,66,API log
822317,ChatGPT,68,4,72,API log
822317,ChatGPT,60,3,63,API log
822317,ChatGPT,61,4,65,API log
822317,ChatGPT,61,3,64,API log
822317,ChatGPT,72,4,76,API log
822317,ChatGPT,79,3,82,API log
822317,ChatGPT,59,3,62,API log
822317,ChatGPT,68,3,71,API log
822321,ChatGPT,71,3,74,API log
822321,ChatGPT,62,3,65,API log
822321,ChatGPT,72,3,75,API log
822321,ChatGPT,60,4,64,API log
822321,ChatGPT,64,3,67,API log
822321,ChatGPT,62,3,65,API log
822321,ChatGPT,67,7,74,API log
