scenario,policy,seed,weighted_goodput,weighted_goodput_ratio,sla_success_ratio,completion_ratio,p95_latency,avg_latency,dropped,arrived,steps,optimal_weighted_goodput,optimality_gap
small_optimal,random,20310717,7.3,0.4965986394557823,0.5,0.5,24.02067337036133,20.986469268798828,0.0,4.0,21.0,8.0,0.08750000000000002
small_optimal,edf,20310717,7.3,0.4965986394557823,0.5,0.5,20.177331352233885,18.303659439086914,0.0,4.0,20.0,8.0,0.08750000000000002
small_optimal,greedy,20310717,7.3,0.4965986394557823,0.5,0.5,21.662443733215333,19.207571029663086,0.0,4.0,20.0,8.0,0.08750000000000002
small_optimal,vanilla_rl,20310717,8.0,0.54421768707483,0.5,0.5,22.50932216644287,19.531023025512695,0.0,4.0,25.0,8.0,0.0
small_optimal,wpr_no_progress,20310717,7.3,0.4965986394557823,0.5,0.5,23.580722999572753,20.217191696166992,0.0,4.0,20.0,8.0,0.08750000000000002
small_optimal,wpr_no_demand,20310717,8.0,0.54421768707483,0.5,0.5,22.919774055480957,21.597509384155273,0.0,4.0,23.0,8.0,0.0
small_optimal,wpr_no_residency,20310717,7.3,0.4965986394557823,0.5,0.5,24.39644412994385,20.6844539642334,0.0,4.0,22.0,8.0,0.08750000000000002
small_optimal,wpr_fixed_gamma,20310717,7.3,0.4965986394557823,0.5,0.5,23.078184509277342,20.623310089111328,0.0,4.0,21.0,8.0,0.08750000000000002
small_optimal,wpr_a2c,20310717,7.3,0.4965986394557823,0.5,0.5,20.389399909973143,20.012941360473633,0.0,4.0,21.0,8.0,0.08750000000000002
small_optimal,random,20310817,3.8,0.5,0.5,0.5,17.61513328552246,17.61513328552246,0.0,2.0,9.0,3.8,0.0
small_optimal,edf,20310817,3.8,0.5,0.5,0.5,16.221799850463867,16.221799850463867,0.0,2.0,9.0,3.8,0.0
small_optimal,greedy,20310817,3.8,0.5,0.5,0.5,16.47993278503418,16.47993278503418,0.0,2.0,9.0,3.8,0.0
small_optimal,vanilla_rl,20310817,3.8,0.5,0.5,0.5,16.221799850463867,16.221799850463867,0.0,2.0,9.0,3.8,0.0
small_optimal,wpr_no_progress,20310817,3.8,0.5,0.5,0.5,16.47993278503418,16.47993278503418,0.0,2.0,9.0,3.8,0.0
small_optimal,wpr_no_demand,20310817,3.8,0.5,0.5,0.5,18.696468353271484,18.696468353271484,0.0,2.0,9.0,3.8,0.0
small_optimal,wpr_no_residency,20310817,3.8,0.5,0.5,0.5,16.560022354125977,16.560022354125977,0.0,2.0,9.0,3.8,0.0
