scenario,policy,seed,weighted_goodput,weighted_goodput_ratio,sla_success_ratio,completion_ratio,p95_latency,avg_latency,dropped,arrived,steps,optimal_weighted_goodput,optimality_gap
light,random,20310717,21.3,0.5803814713896458,0.6,0.7,27.172297477722168,24.253507341657365,3.0,10.0,48.0,0.0,0.0
light,edf,20310717,25.8,0.7029972752043596,0.7,0.8,28.721758460998533,23.396600246429443,2.0,10.0,56.0,0.0,0.0
light,greedy,20310717,25.8,0.7029972752043596,0.7,0.9,31.94025192260742,25.485912534925674,1.0,10.0,52.0,0.0,0.0
light,vanilla_rl,20310717,15.0,0.4087193460490463,0.4,0.6,29.756037712097168,25.259987195332844,3.0,10.0,54.0,0.0,0.0
light,wpr_no_progress,20310717,18.4,0.5013623978201635,0.5,0.6,31.149120330810547,22.509006182352703,4.0,10.0,53.0,0.0,0.0
light,wpr_no_demand,20310717,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,39.0,0.0,0.0
light,wpr_no_residency,20310717,25.9,0.7057220708446865,0.7,0.7,28.34659614562988,22.9479466847011,3.0,10.0,51.0,0.0,0.0
light,wpr_fixed_gamma,20310717,4.2,0.11444141689373297,0.1,0.2,27.801056480407716,27.141504287719727,6.0,10.0,53.0,0.0,0.0
light,wpr_a2c,20310717,10.5,0.2861035422343324,0.3,0.6,32.22906970977783,26.350690841674805,4.0,10.0,55.0,0.0,0.0
light,random,20310817,19.799999999999997,0.6265822784810126,0.625,0.625,26.90168991088867,21.85640106201172,3.0,8.0,41.0,0.0,0.0
light,edf,20310817,23.599999999999998,0.7468354430379746,0.75,0.75,24.93218421936035,20.36756992340088,2.0,8.0,41.0,0.0,0.0
light,greedy,20310817,15.599999999999998,0.4936708860759493,0.5,0.75,32.099127769470215,23.678511301676433,2.0,8.0,46.0,0.0,0.0
light,vanilla_rl,20310817,19.0,0.6012658227848101,0.625,0.875,32.44818115234375,23.128857476370676,1.0,8.0,42.0,0.0,0.0
light,wpr_no_progress,20310817,19.799999999999997,0.6265822784810126,0.625,0.75,30.51673698425293,22.875038782755535,1.0,8.0,47.0,0.0,0.0
light,wpr_no_demand,20310817,4.2,0.13291139240506328,0.125,0.25,30.203399658203125,27.164512634277344,3.0,8.0,29.0,0.0,0.0
light,wpr_no_residency,20310817,23.599999999999998,0.7468354430379746,0.75,0.75,28.530132293701172,22.42874590555827,1.0,8.0,41.0,0.0,0.0
light,wpr_fixed_gamma,20310817,8.4,0.26582278481012656,0.25,0.25,27.95758934020996,25.852447509765625,6.0,8.0,40.0,0.0,0.0
light,wpr_a2c,20310817,19.799999999999997,0.6265822784810126,0.625,0.75,30.190430641174316,23.287527720133465,1.0,8.0,48.0,0.0,0.0
