scenario,policy,seed,weighted_completed_value,weighted_goodput,weighted_goodput_rate,weighted_goodput_ratio,sla_success_ratio,completion_ratio,p95_latency,avg_latency,avg_ready_wait,rejected,dropped,admitted,arrived,steps,lookahead_reference_value,lookahead_gap
light,random,20310717,30.4,30.4,0.663122310313791,0.8941176470588235,0.8888888888888888,0.8888888888888888,23.550090503692626,18.409362196922302,1.1257782936096192,1.0,0.0,8.0,9.0,32.0,0.0,0.0
light,edf,20310717,34.0,34.0,0.6967368498578365,1.0,1.0,1.0,20.29653549194336,16.097479184468586,1.0039414912462234,0.0,0.0,9.0,9.0,36.0,0.0,0.0
light,online_greedy,20310717,34.0,34.0,0.7322455757953764,1.0,1.0,1.0,21.840557861328126,16.09080515967475,1.0382116585969925,0.0,0.0,9.0,9.0,35.0,0.0,0.0
light,dag_oracle_greedy,20310717,30.4,30.4,0.7130455925942699,0.8941176470588235,0.8888888888888888,0.8888888888888888,20.764567470550535,16.0335134267807,0.8939666748046875,1.0,0.0,8.0,9.0,31.0,0.0,0.0
light,vanilla_a2c,20310717,34.0,34.0,0.6994778025136797,1.0,1.0,1.0,20.294138717651368,16.00192356109619,0.955144539475441,0.0,0.0,9.0,9.0,35.0,0.0,0.0
light,wpr_no_progress,20310717,30.4,30.4,0.6620536448291379,0.8941176470588235,0.8888888888888888,0.8888888888888888,21.813539695739745,18.978458762168884,1.339076296488444,1.0,0.0,8.0,9.0,32.0,0.0,0.0
light,wpr_no_demand,20310717,30.4,30.4,0.6356812154826597,0.8941176470588235,0.8888888888888888,0.8888888888888888,20.77442331314087,17.407570719718933,0.9268168926239013,1.0,0.0,8.0,9.0,33.0,0.0,0.0
light,wpr_no_residency,20310717,34.0,34.0,0.7138246603421179,1.0,1.0,1.0,20.199019241333005,15.657329665289986,0.8987280279397964,0.0,0.0,9.0,9.0,34.0,0.0,0.0
light,wpr_fixed_gamma,20310717,30.399999999999995,30.399999999999995,0.578150280577814,0.8941176470588234,0.8888888888888888,0.8888888888888888,21.621105766296385,17.720237255096436,0.8920741081237793,1.0,0.0,8.0,9.0,31.0,0.0,0.0
light,wpr_no_shaping,20310717,30.4,30.4,0.5951809477982156,0.8941176470588235,0.8888888888888888,0.8888888888888888,22.351467609405518,18.54630148410797,1.0818238576253256,1.0,0.0,8.0,9.0,31.0,0.0,0.0
