scenario,policy,n,weighted_completed_value_mean,weighted_completed_value_sem,weighted_goodput_rate_mean,weighted_goodput_rate_sem,weighted_goodput_ratio_mean,weighted_goodput_ratio_sem,sla_success_ratio_mean,sla_success_ratio_sem,completion_ratio_mean,completion_ratio_sem,p95_latency_mean,p95_latency_sem,avg_latency_mean,avg_latency_sem,avg_ready_wait_mean,avg_ready_wait_sem,rejected_mean,rejected_sem,dropped_mean,dropped_sem,lookahead_gap_mean,lookahead_gap_sem
light,dag_oracle_greedy,10.0,26.220000000000006,2.343397343838878,0.5142229006145432,0.03695646552222096,0.9409768605416741,0.02517108193387355,0.941540404040404,0.024637610010397784,0.941540404040404,0.024637610010397784,19.792825212478636,1.072888400270523,15.250334134820909,0.7666491056766808,0.8579053517870661,0.15654016096500542,0.6,0.26666666666666666,0.0,0.0,0.0,0.0
light,edf,10.0,26.95,2.457516813551616,0.5247133593832002,0.03728491228577479,0.9640701258669407,0.024014806144443082,0.9651515151515152,0.02325975543367566,0.9651515151515152,0.02325975543367566,18.873457040786743,1.3378339405768889,14.008447795822509,0.7483544827456852,0.760841262259511,0.12268797559538451,0.4,0.26666666666666666,0.0,0.0,0.0,0.0
light,online_greedy,10.0,26.95,2.457516813551616,0.5284039349192893,0.0417806823414455,0.9640701258669407,0.024014806144443082,0.9651515151515152,0.02325975543367566,0.9651515151515152,0.02325975543367566,19.393929443359376,1.27668907225388,14.122805375068907,0.7294627373905657,0.7993653952358948,0.12988432999336608,0.4,0.26666666666666666,0.0,0.0,0.0,0.0
light,random,10.0,25.23,1.94067857548161,0.48314272989768137,0.031754705299509474,0.9166215958119783,0.03383428015033018,0.9137626262626263,0.03497879898901891,0.9137626262626263,0.03497879898901891,21.16832669734955,1.4454824653999638,15.930239780479008,0.7739062953438833,0.9450054122987698,0.14447989997269658,0.8,0.32659863237109044,0.1,0.09999999999999999,0.0,0.0
light,vanilla_a2c,10.0,25.740000000000002,2.1457037177682396,0.4981648884592341,0.033868351784756945,0.9321006725118771,0.037140402343803725,0.9352272727272727,0.03504760307318305,0.9352272727272727,0.03504760307318305,19.83189902305603,1.3361821037069184,15.381155149823144,1.045902663770721,0.9334296605445314,0.19369796436815773,0.7,0.3958114029012639,0.0,0.0,0.0,0.0
light,wpr_a2c,10.0,26.940000000000005,2.45249079735503,0.5218114074816406,0.039790404860696946,0.963851785255587,0.024148966433791972,0.9651515151515152,0.02325975543367566,0.9651515151515152,0.02325975543367566,19.90266701698303,1.5847437104936977,14.454868816875276,0.8968117491158899,0.8798022554192428,0.16995627636487273,0.4,0.26666666666666666,0.0,0.0,0.0,0.0
light,wpr_fixed_gamma,10.0,25.589999999999996,2.150785386266556,0.47603084124374073,0.02752798248793818,0.9238129221241627,0.028885272838231935,0.9213383838383837,0.029925426297929134,0.9213383838383837,0.029925426297929134,20.032766666412353,0.9160918079589004,16.203461100714545,0.6185553078558903,0.803905419294267,0.11217729648461072,0.7,0.2603416558635551,0.1,0.09999999999999999,0.0,0.0
light,wpr_no_demand,10.0,25.810000000000002,2.245412607468342,0.47588264155908455,0.03228543967605502,0.930927840933831,0.032088624288813705,0.932449494949495,0.030640915774245485,0.932449494949495,0.030640915774245485,21.668076338768007,1.6043529200006745,16.430851888164643,0.9348981703898679,0.9806154042229333,0.17478694868529593,0.7,0.334995854037363,0.0,0.0,0.0,0.0
light,wpr_no_progress,10.0,24.090000000000003,1.9050488474343934,0.45444079465332027,0.03321479875747184,0.8772244938853919,0.040415756936373386,0.8755050505050506,0.04020371565267958,0.8755050505050506,0.04020371565267958,20.685273742675783,1.1845184125458257,16.116004564762115,0.7873590602856091,0.8364627997929457,0.13306119742294467,0.9,0.37859388972001823,0.3,0.15275252316519466,0.0,0.0
light,wpr_no_residency,10.0,25.880000000000003,2.3337523433303717,0.49571756646193543,0.0357640040346349,0.9345044319798056,0.03854935438941153,0.9344696969696968,0.03839733448272188,0.956060606060606,0.030340885446213304,21.472838754653928,1.5448520462143305,15.364182322063144,0.8782981478488362,0.9717313254685822,0.18089258137222053,0.5,0.34156502553198664,0.0,0.0,0.0,0.0
light,wpr_no_shaping,10.0,25.21,2.1052025502971863,0.47365643830931425,0.02911842564909482,0.9118814434951833,0.033013634141021875,0.9095959595959595,0.03350295244876969,0.9095959595959595,0.03350295244876969,20.274873833656308,1.1151321203533513,15.28321791365033,0.6883567308941813,0.8018080271528746,0.12409507810158528,0.7,0.2603416558635551,0.2,0.13333333333333333,0.0,0.0
light,wpr_with_wait,10.0,25.080000000000002,1.8668928434403746,0.48530003169918406,0.03644914094882859,0.9194154037160714,0.04690985911280694,0.919949494949495,0.04669714740565633,0.9366161616161616,0.034809119912733666,21.656265444755554,1.7606563373213695,16.246746798924036,0.9700809955496358,0.9735123542252577,0.19333457073129182,0.7,0.3958114029012639,0.0,0.0,0.0,0.0
