scenario,policy,seed,weighted_completed_value,weighted_goodput,weighted_goodput_rate,weighted_goodput_ratio,sla_success_ratio,completion_ratio,p95_latency,avg_latency,avg_ready_wait,rejected,dropped,admitted,arrived,steps,lookahead_reference_value,lookahead_gap
moderate,random,20310717,44.800000000000004,44.800000000000004,0.7289107519850945,0.8582375478927203,0.8571428571428571,0.9285714285714286,27.9464916229248,20.884909116304836,2.100659857404993,1.0,0.0,13.0,14.0,54.0,0.0,0.0
moderate,edf,20310717,52.20000000000001,52.20000000000001,0.817140611372536,1.0000000000000002,1.0,1.0,26.637229728698728,19.485423224312918,1.8831421534220378,0.0,0.0,14.0,14.0,57.0,0.0,0.0
moderate,online_greedy,20310717,52.20000000000001,52.20000000000001,0.798067533617841,1.0000000000000002,1.0,1.0,27.633223915100096,19.08805206843785,1.753481995825674,0.0,0.0,14.0,14.0,58.0,0.0,0.0
moderate,dag_oracle_greedy,20310717,52.20000000000001,52.20000000000001,0.7861781410150585,1.0000000000000002,1.0,1.0,29.343060874938963,21.61639962877546,2.288377462648878,0.0,0.0,14.0,14.0,54.0,0.0,0.0
moderate,vanilla_a2c,20310717,48.70000000000001,48.70000000000001,0.7783933158141334,0.9329501915708813,0.9285714285714286,1.0,30.581543159484863,18.923572949000768,1.8357310388602464,0.0,0.0,14.0,14.0,62.0,0.0,0.0
moderate,wpr_no_progress,20310717,52.20000000000001,52.20000000000001,0.8378293217111769,1.0000000000000002,1.0,1.0,28.346633720397946,18.88264765058245,1.709099297430001,0.0,0.0,14.0,14.0,55.0,0.0,0.0
moderate,wpr_no_demand,20310717,52.20000000000001,52.20000000000001,0.795496527886647,1.0000000000000002,1.0,1.0,24.476601600646973,19.03883021218436,1.7520290449553846,0.0,0.0,14.0,14.0,55.0,0.0,0.0
moderate,wpr_no_residency,20310717,49.00000000000001,49.00000000000001,0.7715276706568839,0.9386973180076629,0.9285714285714286,0.9285714285714286,25.36483078002929,18.13587496830867,1.5135851312190929,0.0,1.0,14.0,14.0,55.0,0.0,0.0
moderate,wpr_fixed_gamma,20310717,49.00000000000001,49.00000000000001,0.7347354447384224,0.9386973180076629,0.9285714285714286,1.0,26.219067573547363,19.99188028063093,1.867204984029134,0.0,0.0,14.0,14.0,54.0,0.0,0.0
moderate,wpr_no_shaping,20310717,45.50000000000001,45.50000000000001,0.6912973982330124,0.8716475095785442,0.8571428571428571,0.8571428571428571,23.956699562072753,18.71324284871419,1.314526081085205,0.0,2.0,14.0,14.0,52.0,0.0,0.0
moderate,wpr_with_wait,20310717,48.00000000000001,48.00000000000001,0.7551134912536568,0.9195402298850576,0.9285714285714286,0.9285714285714286,23.99910697937012,17.375789348895733,1.4041442211638107,0.0,1.0,14.0,14.0,60.0,0.0,0.0
moderate,wpr_a2c,20310717,52.20000000000001,52.20000000000001,0.8614986773437594,1.0000000000000002,1.0,1.0,25.247155570983885,18.428772517613,1.6035329407336665,0.0,0.0,14.0,14.0,55.0,0.0,0.0
moderate,random,20310817,51.50000000000001,51.50000000000001,0.6290247897311431,0.9363636363636365,0.9285714285714286,0.9285714285714286,27.95560417175293,21.143120472247784,2.0049955741218897,0.0,1.0,14.0,14.0,65.0,0.0,0.0
