scenario,policy,seed,weighted_completed_value,weighted_goodput,weighted_goodput_rate,weighted_goodput_ratio,sla_success_ratio,completion_ratio,p95_latency,avg_latency,avg_ready_wait,rejected,dropped,admitted,arrived,steps,lookahead_reference_value,lookahead_gap
light,random,20310717,30.4,30.4,0.663122310313791,0.8941176470588235,0.8888888888888888,0.8888888888888888,23.550090503692626,18.409362196922302,1.1257782936096192,1.0,0.0,8.0,9.0,32.0,0.0,0.0
light,edf,20310717,34.0,34.0,0.6967368498578365,1.0,1.0,1.0,20.29653549194336,16.097479184468586,1.0039414912462234,0.0,0.0,9.0,9.0,36.0,0.0,0.0
light,online_greedy,20310717,34.0,34.0,0.7322455757953764,1.0,1.0,1.0,21.840557861328126,16.09080515967475,1.0382116585969925,0.0,0.0,9.0,9.0,35.0,0.0,0.0
light,dag_oracle_greedy,20310717,30.4,30.4,0.7130455925942699,0.8941176470588235,0.8888888888888888,0.8888888888888888,20.764567470550535,16.0335134267807,0.8939666748046875,1.0,0.0,8.0,9.0,31.0,0.0,0.0
light,vanilla_a2c,20310717,30.399999999999995,30.399999999999995,0.674495125090427,0.8941176470588234,0.8888888888888888,0.8888888888888888,20.261588382720948,18.185270071029663,1.2095911026000976,1.0,0.0,8.0,9.0,36.0,0.0,0.0
light,wpr_no_progress,20310717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,9.0,25.0,0.0,0.0
light,wpr_no_demand,20310717,34.0,34.0,0.7261438241860401,1.0,1.0,1.0,20.76828918457031,16.41226969824897,1.0165262967348099,0.0,0.0,9.0,9.0,35.0,0.0,0.0
light,wpr_no_residency,20310717,30.399999999999995,30.399999999999995,0.5737679445204804,0.8941176470588234,0.8888888888888888,0.8888888888888888,27.594737434387202,19.778533458709717,1.6427903493245444,1.0,0.0,8.0,9.0,52.0,0.0,0.0
light,wpr_fixed_gamma,20310717,30.399999999999995,30.399999999999995,0.6534278472736056,0.8941176470588234,0.8888888888888888,0.8888888888888888,19.873409271240234,17.70314121246338,0.9212446530659993,1.0,0.0,8.0,9.0,31.0,0.0,0.0
light,wpr_no_shaping,20310717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,9.0,28.0,0.0,0.0
light,wpr_a2c,20310717,30.4,30.4,0.6518294032145359,0.8941176470588235,0.8888888888888888,0.8888888888888888,21.890825748443604,19.034939408302307,1.2799954732259116,1.0,0.0,8.0,9.0,31.0,0.0,0.0
light,random,20310817,24.599999999999998,24.599999999999998,0.44564171881928766,0.9999999999999999,1.0,1.0,19.764392852783203,17.03252061208089,0.3700252879749645,0.0,0.0,6.0,6.0,22.0,0.0,0.0
light,edf,20310817,24.599999999999998,24.599999999999998,0.44242242188338854,0.9999999999999999,1.0,1.0,20.21122169494629,15.469239552815756,0.33751353350552643,0.0,0.0,6.0,6.0,22.0,0.0,0.0
light,online_greedy,20310817,24.599999999999998,24.599999999999998,0.43888178663999405,0.9999999999999999,1.0,1.0,20.64263916015625,15.578253110249838,0.3375131000172008,0.0,0.0,6.0,6.0,22.0,0.0,0.0
light,dag_oracle_greedy,20310817,24.599999999999998,24.599999999999998,0.4460065500452384,0.9999999999999999,1.0,1.0,19.10944652557373,17.276986598968506,0.3700252012772994,0.0,0.0,6.0,6.0,22.0,0.0,0.0
light,vanilla_a2c,20310817,24.599999999999998,24.599999999999998,0.41444558616944227,0.9999999999999999,1.0,1.0,22.92721652984619,19.003352959950764,0.9944922273809259,0.0,0.0,6.0,6.0,28.0,0.0,0.0
light,wpr_no_progress,20310817,4.2,4.2,0.060014984764399974,0.17073170731707316,0.16666666666666666,0.3333333333333333,34.88301839828491,33.032164573669434,4.402192831039429,1.0,3.0,5.0,6.0,26.0,0.0,0.0
light,wpr_no_demand,20310817,24.599999999999998,24.599999999999998,0.43196616131236,0.9999999999999999,1.0,1.0,21.175840377807617,16.219600200653076,0.35266542434692383,0.0,0.0,6.0,6.0,22.0,0.0,0.0
light,wpr_no_residency,20310817,24.599999999999998,24.599999999999998,0.3633738354501933,0.9999999999999999,1.0,1.0,29.40290069580078,22.43932580947876,1.7334887331182307,0.0,0.0,6.0,6.0,27.0,0.0,0.0
light,wpr_fixed_gamma,20310817,24.599999999999998,24.599999999999998,0.43748767440164277,0.9999999999999999,1.0,1.0,20.71396255493164,17.631701946258545,0.3638909946788441,0.0,0.0,6.0,6.0,22.0,0.0,0.0
light,wpr_no_shaping,20310817,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,34.79312438964844,34.77008056640625,4.975470304489136,1.0,3.0,5.0,6.0,31.0,0.0,0.0
light,wpr_a2c,20310817,24.599999999999998,24.599999999999998,0.4292591122195521,0.9999999999999999,1.0,1.0,21.553146362304688,17.808175881703693,0.35933693972500885,0.0,0.0,6.0,6.0,22.0,0.0,0.0
