scenario,policy,seed,weighted_completed_value,weighted_goodput,weighted_goodput_rate,weighted_goodput_ratio,sla_success_ratio,completion_ratio,p95_latency,avg_latency,avg_ready_wait,rejected,dropped,admitted,arrived,steps,lookahead_reference_value,lookahead_gap
light,random,20310717,25.700000000000003,25.700000000000003,0.43660612467847615,0.6835106382978724,0.7,0.7,28.244799232482908,21.242173058646067,2.2921399153195896,2.0,1.0,8.0,10.0,55.0,0.0,0.0
light,edf,20310717,34.1,34.1,0.5493894262730435,0.9069148936170213,0.9,0.9,25.237854766845704,20.27399794260661,1.9647241059471579,1.0,0.0,9.0,10.0,43.0,0.0,0.0
light,online_greedy,20310717,29.200000000000003,29.200000000000003,0.4972074373847287,0.7765957446808511,0.8,0.8,29.112392807006835,20.876845836639404,2.6270950476328534,2.0,0.0,8.0,10.0,53.0,0.0,0.0
light,dag_oracle_greedy,20310717,29.200000000000003,29.200000000000003,0.49970450105732056,0.7765957446808511,0.8,0.8,24.519822597503662,20.360675573349,2.336733865737915,2.0,0.0,8.0,10.0,43.0,0.0,0.0
light,vanilla_a2c,20310717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,10.0,19.0,0.0,0.0
light,wpr_no_progress,20310717,29.200000000000003,29.200000000000003,0.48881541769652287,0.7765957446808511,0.8,0.8,25.46697998046875,21.11922562122345,2.1482266585032144,2.0,0.0,8.0,10.0,39.0,0.0,0.0
light,wpr_no_demand,20310717,25.700000000000003,25.700000000000003,0.43212388956353925,0.6835106382978724,0.7,0.7,26.519406700134276,19.623316492353165,1.629750160070566,2.0,1.0,8.0,10.0,37.0,0.0,0.0
light,wpr_no_residency,20310717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,10.0,22.0,0.0,0.0
light,wpr_fixed_gamma,20310717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,10.0,19.0,0.0,0.0
light,wpr_a2c,20310717,30.6,30.6,0.523563496817159,0.8138297872340425,0.8,0.8,23.46065263748169,19.220202922821045,1.3340545177459717,2.0,0.0,8.0,10.0,37.0,0.0,0.0
light,random,20310817,11.799999999999999,11.799999999999999,0.3078476344897679,1.0,1.0,1.0,17.283322715759276,14.554575284322103,0.4184842109680176,0.0,0.0,3.0,3.0,8.0,0.0,0.0
light,edf,20310817,11.799999999999999,11.799999999999999,0.31747551309659594,1.0,1.0,1.0,17.03115291595459,14.32198429107666,0.42383694648742676,0.0,0.0,3.0,3.0,8.0,0.0,0.0
light,online_greedy,20310817,11.799999999999999,11.799999999999999,0.31464603095585314,1.0,1.0,1.0,17.24416904449463,14.499913215637207,0.42383694648742676,0.0,0.0,3.0,3.0,8.0,0.0,0.0
light,dag_oracle_greedy,20310817,11.799999999999999,11.799999999999999,0.33755828609054134,1.0,1.0,1.0,17.8637975692749,14.239908536275228,0.4111146926879883,0.0,0.0,3.0,3.0,8.0,0.0,0.0
light,vanilla_a2c,20310817,11.799999999999999,11.799999999999999,0.2525146473429727,1.0,1.0,1.0,26.763133811950684,24.976672490437824,3.9934041500091553,0.0,0.0,3.0,3.0,16.0,0.0,0.0
light,wpr_no_progress,20310817,11.799999999999999,11.799999999999999,0.33005163121286885,1.0,1.0,1.0,18.953966712951658,15.156726519266764,0.4111142158508301,0.0,0.0,3.0,3.0,8.0,0.0,0.0
light,wpr_no_demand,20310817,11.799999999999999,11.799999999999999,0.30731472231430423,1.0,1.0,1.0,17.524765968322754,16.02696959177653,0.42383694648742676,0.0,0.0,3.0,3.0,8.0,0.0,0.0
light,wpr_no_residency,20310817,7.699999999999999,7.699999999999999,0.1628200087867403,0.652542372881356,0.6666666666666666,1.0,33.29638900756836,25.532267888387043,4.2296059131622314,0.0,0.0,3.0,3.0,16.0,0.0,0.0
light,wpr_fixed_gamma,20310817,11.799999999999999,11.799999999999999,0.24659172368268634,1.0,1.0,1.0,27.779323387145997,26.27071189880371,4.406145095825195,0.0,0.0,3.0,3.0,17.0,0.0,0.0
light,wpr_a2c,20310817,11.799999999999999,11.799999999999999,0.3362592762180281,1.0,1.0,1.0,17.645541954040528,15.092398007710775,0.4242532253265381,0.0,0.0,3.0,3.0,8.0,0.0,0.0
