scenario,policy,n,weighted_completed_value_mean,weighted_completed_value_sem,weighted_goodput_rate_mean,weighted_goodput_rate_sem,weighted_goodput_ratio_mean,weighted_goodput_ratio_sem,sla_success_ratio_mean,sla_success_ratio_sem,completion_ratio_mean,completion_ratio_sem,p95_latency_mean,p95_latency_sem,avg_latency_mean,avg_latency_sem,avg_ready_wait_mean,avg_ready_wait_sem,rejected_mean,rejected_sem,dropped_mean,dropped_sem,lookahead_gap_mean,lookahead_gap_sem
light,dag_oracle_greedy,2.0,20.5,8.700000000000001,0.418631393573931,0.0810731074833896,0.8882978723404256,0.11170212765957442,0.9,0.09999999999999998,0.9,0.09999999999999998,21.19181008338928,3.32801251411438,17.300292054812115,3.060383518536885,1.3739242792129516,0.9628095865249632,1.0,1.0,0.0,0.0,0.0,0.0
light,edf,2.0,22.95,11.15,0.43343246968481974,0.1159569565882238,0.9534574468085106,0.04654255319148936,0.95,0.04999999999999999,0.95,0.04999999999999999,21.134503841400146,4.103350925445557,17.297991116841636,2.9760068257649746,1.1942805262172924,0.7704435797298654,0.5,0.5,0.0,0.0,0.0,0.0
light,online_greedy,2.0,20.5,8.700000000000001,0.4059267341702909,0.09128070321443778,0.8882978723404256,0.11170212765957442,0.9,0.09999999999999998,0.9,0.09999999999999998,23.178280925750734,5.9341118812561024,17.688379526138306,3.188466310501098,1.52546599706014,1.1016290505727133,1.0,1.0,0.0,0.0,0.0,0.0
light,random,2.0,18.75,6.950000000000001,0.37222687958412204,0.06437924509435414,0.8417553191489362,0.1582446808510638,0.85,0.15,0.85,0.15,22.764060974121094,5.480738258361816,17.898374171484086,3.3437988871619813,1.3553120631438036,0.9368278521757859,1.0,1.0,0.5,0.5,0.0,0.0
light,vanilla_a2c,2.0,5.8999999999999995,5.8999999999999995,0.12625732367148634,0.12625732367148632,0.5,0.5,0.5,0.5,0.5,0.5,13.381566905975342,13.38156690597534,12.488336245218912,12.488336245218912,1.9967020750045776,1.9967020750045776,2.5,2.5,2.5,2.5,0.0,0.0
light,wpr_a2c,2.0,21.2,9.4,0.42991138651759353,0.09365211029956542,0.9069148936170213,0.09308510638297872,0.9,0.09999999999999998,0.9,0.09999999999999998,20.55309729576111,2.907555341720581,17.15630046526591,2.063902457555135,0.8791538715362549,0.45490064620971676,1.0,1.0,0.0,0.0,0.0,0.0
light,wpr_fixed_gamma,2.0,5.8999999999999995,5.8999999999999995,0.12329586184134317,0.12329586184134315,0.5,0.5,0.5,0.5,0.5,0.5,13.889661693572998,13.889661693572997,13.135355949401855,13.135355949401855,2.2030725479125977,2.2030725479125977,2.5,2.5,2.5,2.5,0.0,0.0
light,wpr_no_demand,2.0,18.75,6.950000000000001,0.36971930593892177,0.0624045836246175,0.8417553191489362,0.1582446808510638,0.85,0.15,0.85,0.15,22.022086334228515,4.497320365905761,17.82514304206485,1.798173450288317,1.0267935532789965,0.6029566067915696,1.0,1.0,0.5,0.5,0.0,0.0
light,wpr_no_progress,2.0,20.5,8.700000000000001,0.40943352445469583,0.079381893241827,0.8882978723404256,0.11170212765957442,0.9,0.09999999999999998,0.9,0.09999999999999998,22.210473346710202,3.2565066337585455,18.137976070245106,2.981249550978343,1.2796704371770222,0.868556221326192,1.0,1.0,0.0,0.0,0.0,0.0
light,wpr_no_residency,2.0,3.8499999999999996,3.8499999999999996,0.08141000439337015,0.08141000439337014,0.326271186440678,0.32627118644067793,0.3333333333333333,0.3333333333333333,0.5,0.5,16.64819450378418,16.648194503784175,12.766133944193522,12.766133944193522,2.1148029565811157,2.1148029565811157,2.5,2.5,2.5,2.5,0.0,0.0
