scenario,policy,seed,weighted_completed_value,weighted_goodput,weighted_goodput_rate,weighted_goodput_ratio,sla_success_ratio,completion_ratio,p95_latency,avg_latency,avg_ready_wait,rejected,dropped,admitted,arrived,steps,lookahead_reference_value,lookahead_gap
light,random,20310717,22.3,22.3,0.4294204355538568,0.5930851063829787,0.6,0.6,29.71463632583618,22.44020366668701,2.0506432989369268,3.0,0.0,7.0,10.0,801.0,0.0,0.0
light,edf,20310717,22.3,22.3,0.4228091293618064,0.5930851063829787,0.6,0.6,27.145351886749268,22.94840971628825,2.3826998005742612,3.0,0.0,7.0,10.0,801.0,0.0,0.0
light,online_greedy,20310717,22.3,22.3,0.37538842646069853,0.5930851063829787,0.6,0.6,31.64875078201294,25.001901308695476,3.4765832735144575,3.0,0.0,7.0,10.0,801.0,0.0,0.0
light,dag_oracle_greedy,20310717,26.5,26.5,0.5256121376888928,0.7047872340425532,0.7,0.7,29.27207813262939,21.555048533848353,1.8819080988566081,2.0,0.0,8.0,10.0,801.0,0.0,0.0
light,vanilla_a2c,20310717,18.8,18.8,0.35246223578315017,0.5,0.5,0.6,30.23918581008911,24.201688130696613,2.937606023705524,3.0,0.0,7.0,10.0,801.0,0.0,0.0
light,wpr_no_progress,20310717,8.3,8.3,0.13527246132462592,0.22074468085106383,0.2,0.2,31.03038740158081,28.13613796234131,2.0969784600394115,4.0,4.0,6.0,10.0,42.0,0.0,0.0
light,wpr_no_demand,20310717,22.3,22.3,0.4446985662501046,0.5930851063829787,0.6,0.6,29.819921016693115,22.651648839314777,2.2530198719190513,3.0,0.0,7.0,10.0,801.0,0.0,0.0
light,wpr_no_residency,20310717,22.3,22.3,0.3781735180511992,0.5930851063829787,0.6,0.6,26.830722332000732,24.136082649230957,2.2823178664497705,3.0,0.0,7.0,10.0,801.0,0.0,0.0
light,wpr_fixed_gamma,20310717,26.5,26.5,0.47013118368973605,0.7047872340425532,0.7,0.7,30.07596454620361,24.519341605050222,2.40068495715106,2.0,0.0,8.0,10.0,801.0,0.0,0.0
light,wpr_a2c,20310717,8.3,8.3,0.13527246132462592,0.22074468085106383,0.2,0.2,31.03038740158081,28.13613796234131,2.0969784600394115,4.0,4.0,6.0,10.0,42.0,0.0,0.0
light,random,20310817,11.799999999999999,11.799999999999999,0.3098108054248896,1.0,1.0,1.0,24.43170108795166,18.557867368062336,0.8499060869216919,0.0,0.0,3.0,3.0,8.0,0.0,0.0
light,edf,20310817,7.699999999999999,7.699999999999999,0.20653530935850647,0.652542372881356,0.6666666666666666,0.6666666666666666,21.561994886398317,17.812278270721436,0.6507150650024414,0.0,0.0,3.0,3.0,801.0,0.0,0.0
light,online_greedy,20310817,7.699999999999999,7.699999999999999,0.20653530935850647,0.652542372881356,0.6666666666666666,0.6666666666666666,21.82093424797058,17.948562145233154,0.6507150650024414,0.0,0.0,3.0,3.0,801.0,0.0,0.0
light,dag_oracle_greedy,20310817,7.699999999999999,7.699999999999999,0.20506735543802024,0.652542372881356,0.6666666666666666,0.6666666666666666,21.389803743362428,17.80481767654419,0.9963014602661133,0.0,0.0,3.0,3.0,801.0,0.0,0.0
light,vanilla_a2c,20310817,3.6,3.6,0.1545064643514776,0.3050847457627119,0.3333333333333333,0.3333333333333333,11.631705284118652,11.631705284118652,0.7094540596008301,0.0,0.0,3.0,3.0,801.0,0.0,0.0
light,wpr_no_progress,20310817,7.699999999999999,7.699999999999999,0.20506735543802024,0.652542372881356,0.6666666666666666,0.6666666666666666,21.389803743362428,17.80481767654419,0.9963014602661133,0.0,0.0,3.0,3.0,801.0,0.0,0.0
light,wpr_no_demand,20310817,7.699999999999999,7.699999999999999,0.20653530935850647,0.652542372881356,0.6666666666666666,0.6666666666666666,21.82093424797058,17.948562145233154,0.6507150650024414,0.0,0.0,3.0,3.0,801.0,0.0,0.0
light,wpr_no_residency,20310817,7.699999999999999,7.699999999999999,0.18861022730632,0.652542372881356,0.6666666666666666,0.6666666666666666,25.925310468673704,19.951274394989014,1.6253515243530274,0.0,0.0,3.0,3.0,801.0,0.0,0.0
light,wpr_fixed_gamma,20310817,7.699999999999999,7.699999999999999,0.20506735543802024,0.652542372881356,0.6666666666666666,0.6666666666666666,21.389803743362428,17.80481767654419,0.9963014602661133,0.0,0.0,3.0,3.0,801.0,0.0,0.0
light,wpr_a2c,20310817,7.699999999999999,7.699999999999999,0.20506735543802024,0.652542372881356,0.6666666666666666,0.6666666666666666,21.389803743362428,17.80481767654419,0.9963014602661133,0.0,0.0,3.0,3.0,801.0,0.0,0.0
